序号,类别,标题,起始页,结束页,页数,相对路径
1,Auxiliary,Cover,1,3,3,00_Auxiliary/Cover.pdf
2,Auxiliary,Title_Page,4,4,1,00_Auxiliary/Title_Page.pdf
3,Auxiliary,Copyright_Page,5,7,3,00_Auxiliary/Copyright_Page.pdf
4,Auxiliary,Contents,8,23,16,00_Auxiliary/Contents.pdf
5,Auxiliary,Preface,24,29,6,00_Auxiliary/Preface.pdf
6,Auxiliary,Index,1150,1185,36,00_Auxiliary/Index.pdf
7,ChapterTitle,1 Introduction,30,32,3,01_Introduction/01_Introduction_Title.pdf
8,Section,1.1 What Is an Operating System?,33,36,4,01_Introduction/01.01_What_Is_an_Operating_System.pdf
9,Section,1.2 History of Operating Systems,36,49,14,01_Introduction/01.02_History_of_Operating_Systems.pdf
10,Section,1.3 Computer Hardware Review,49,65,17,01_Introduction/01.03_Computer_Hardware_Review.pdf
11,Section,1.4 The Operating System Zoo,65,68,4,01_Introduction/01.04_The_Operating_System_Zoo.pdf
12,Section,1.5 Operating System Concepts,68,79,12,01_Introduction/01.05_Operating_System_Concepts.pdf
13,Section,1.6 System Calls,79,92,14,01_Introduction/01.06_System_Calls.pdf
14,Section,1.7 Operating System Structure,92,103,12,01_Introduction/01.07_Operating_System_Structure.pdf
15,Section,1.8 Theworld According to C,103,107,5,01_Introduction/01.08_Theworld_According_to_C.pdf
16,Research,1.9 Research on Operating Systems,107,108,2,01_Introduction/01.09_Research_on_Operating_Systems.pdf
17,Section,1.10 Outline of the Rest of This Book,108,109,2,01_Introduction/01.10_Outline_of_the_Rest_of_This_Book.pdf
18,Section,1.11 Metric Units,109,110,2,01_Introduction/01.11_Metric_Units.pdf
19,Summary,1.12 Summary,110,113,4,01_Introduction/01.12_Summary.pdf
20,Section,2.1 Processes,114,126,13,02_Processes_and_Threads/02.01_Processes.pdf
21,Section,2.2 Threads,126,145,20,02_Processes_and_Threads/02.02_Threads.pdf
22,Section,2.3 Event-Driven Servers,145,148,4,02_Processes_and_Threads/02.03_Event-Driven_Servers.pdf
23,Section,2.4 Synchronization and Interprocess  Communication,148,181,34,02_Processes_and_Threads/02.04_Synchronization_and_Interprocess_Communication.pdf
24,Section,2.5 Scheduling,181,200,20,02_Processes_and_Threads/02.05_Scheduling.pdf
25,Research,2.6 Research on Processes and Threads,200,201,2,02_Processes_and_Threads/02.06_Research_on_Processes_and_Threads.pdf
26,Summary,2.7 Summary,201,207,7,02_Processes_and_Threads/02.07_Summary.pdf
27,ChapterTitle,3 Memory Management,208,208,1,03_Memory_Management/03_Memory_Management_Title.pdf
28,Section,3.1 No Memory Abstraction,209,212,4,03_Memory_Management/03.01_No_Memory_Abstraction.pdf
29,Section,3.2 A Memory Abstraction: Address Spaces,212,221,10,03_Memory_Management/03.02_A_Memory_Abstraction__Address_Spaces.pdf
30,Section,3.3 Virtual Memory,221,236,16,03_Memory_Management/03.03_Virtual_Memory.pdf
31,Section,3.4 Page Replacement Algorithms,236,250,15,03_Memory_Management/03.04_Page_Replacement_Algorithms.pdf
32,Section,3.5 Design Issues for Paging Systems,250,261,12,03_Memory_Management/03.05_Design_Issues_for_Paging_Systems.pdf
33,Section,3.6 Implementation Issues,261,269,9,03_Memory_Management/03.06_Implementation_Issues.pdf
34,Section,3.7 Segmentation,269,277,9,03_Memory_Management/03.07_Segmentation.pdf
35,Research,3.8 Research on Memory Management,277,279,3,03_Memory_Management/03.08_Research_on_Memory_Management.pdf
36,Summary,3.9 Summary,279,287,9,03_Memory_Management/03.09_Summary.pdf
37,ChapterTitle,4 File Systems,288,289,2,04_File_Systems/04_File_Systems_Title.pdf
38,Section,4.1 Files,290,301,12,04_File_Systems/04.01_Files.pdf
39,Section,4.2 Directories,301,307,7,04_File_Systems/04.02_Directories.pdf
40,Section,4.3 File-System Implementation,307,330,24,04_File_Systems/04.03_File-System_Implementation.pdf
41,Section,4.4 File-system Management and Optimization,330,353,24,04_File_Systems/04.04_File-system_Management_and_Optimization.pdf
42,Section,4.5 Example File Systems,353,359,7,04_File_Systems/04.05_Example_File_Systems.pdf
43,Research,4.6 Research on File Systems,359,360,2,04_File_Systems/04.06_Research_on_File_Systems.pdf
44,Summary,4.7 Summary,360,365,6,04_File_Systems/04.07_Summary.pdf
45,Section,5.1 Principles of I/o Hardware,366,381,16,05_Input_Output/05.01_Principles_of_I_o_Hardware.pdf
46,Section,5.2 Principles of I/O Software,381,386,6,05_Input_Output/05.02_Principles_of_I_O_Software.pdf
47,Section,5.3 I/O Software Layers,386,399,14,05_Input_Output/05.03_I_O_Software_Layers.pdf
48,Section,5.4 Mass Storage: Disk and SSD,399,419,21,05_Input_Output/05.04_Mass_Storage__Disk_and_SSD.pdf
49,Section,5.5 Clocks,419,424,6,05_Input_Output/05.05_Clocks.pdf
50,Section,"5.6 User Interfaces: Keyboard, Mouse, & Monitor",424,448,25,05_Input_Output/05.06_User_Interfaces__Keyboard__Mouse__&_Monitor.pdf
51,Section,5.7 Thin Clients,448,449,2,05_Input_Output/05.07_Thin_Clients.pdf
52,Section,5.8 Power Management,449,457,9,05_Input_Output/05.08_Power_Management.pdf
53,Research,5.9 Research on Input/Output,457,459,3,05_Input_Output/05.09_Research_on_Input_Output.pdf
54,Summary,5.10 Summary,459,465,7,05_Input_Output/05.10_Summary.pdf
55,ChapterTitle,6 Deadlocks,466,466,1,06_Deadlocks/06_Deadlocks_Title.pdf
56,Section,6.1 Resources,467,473,7,06_Deadlocks/06.01_Resources.pdf
57,Section,6.2 Introduction to Deadlocks,473,476,4,06_Deadlocks/06.02_Introduction_to_Deadlocks.pdf
58,Section,6.3 The Ostrich Algorithm,476,478,3,06_Deadlocks/06.03_The_Ostrich_Algorithm.pdf
59,Section,6.4 Deadlock Detection and Recovery,478,484,7,06_Deadlocks/06.04_Deadlock_Detection_and_Recovery.pdf
60,Section,6.5 Deadlock Avoidance,484,490,7,06_Deadlocks/06.05_Deadlock_Avoidance.pdf
61,Section,6.6 Deadlock Prevention,490,493,4,06_Deadlocks/06.06_Deadlock_Prevention.pdf
62,Section,6.7 Other Issues,493,498,6,06_Deadlocks/06.07_Other_Issues.pdf
