序号,类别,标题,起始页,结束页,页数,相对路径
1,辅助材料,封面,1,4,4,00_辅助材料/封面.pdf
2,辅助材料,前言,5,6,2,00_辅助材料/前言.pdf
3,辅助材料,引言,7,7,1,00_辅助材料/引言.pdf
4,辅助材料,目录,8,11,4,00_辅助材料/目录.pdf
5,辅助材料,参考文献,226,227,2,00_辅助材料/参考文献.pdf
6,章节,第1章_Fourier分析的起源,12,29,18,01_第1章_Fourier分析的起源/01_第1章_Fourier分析的起源.pdf
7,章节,第2章_Fourier级数的基本性质,30,57,28,02_第2章_Fourier级数的基本性质/02_第2章_Fourier级数的基本性质.pdf
8,章节,第3章_Fourier级数的收敛性,58,81,24,03_第3章_Fourier级数的收敛性/03_第3章_Fourier级数的收敛性.pdf
9,章节,第4章_Fourier级数的一些应用,82,101,20,04_第4章_Fourier级数的一些应用/04_第4章_Fourier级数的一些应用.pdf
10,章节,第5章_R上的Fourier变换,102,135,34,05_第5章_R上的Fourier变换/05_第5章_R上的Fourier变换.pdf
11,章节,第6章_R_d上的Fourier变换,136,165,30,06_第6章_R_d上的Fourier变换/06_第6章_R_d上的Fourier变换.pdf
12,章节,第7章_有限Fourier分析,166,181,16,07_第7章_有限Fourier分析/07_第7章_有限Fourier分析.pdf
13,章节,第8章_Dirichlet定理,182,211,30,08_第8章_Dirichlet定理/08_第8章_Dirichlet定理.pdf
14,章节,第9章_积分,212,225,14,09_第9章_积分/09_第9章_积分.pdf
